CUST_CODE,LastPurshaceDate,Recency,Freqyency,Monetary,R_tertile,F_tertile,M_tertile,RFM_Score,segment_name
CUST0000149667,2008-05-01,66,2,2.0,2,2,3,223,potential Lotalist
CUST0000150061,2008-04-26,71,1,0.25,2,3,3,233,Loyal
CUST0000151308,2007-11-03,246,2,2.91,1,2,2,122,About to sleep
CUST0000151417,2007-07-16,356,1,0.86,1,3,3,133,Cannot Loose them
CUST0000153531,2007-10-06,274,1,0.37,1,3,3,133,Cannot Loose them
CUST0000153762,2008-01-20,168,1,9.71,1,3,2,132,Cannot Loose them
CUST0000154415,2008-06-29,7,14,12.46,3,1,1,311,Recent customer
CUST0000154575,2008-06-15,21,1,0.01,3,3,3,333,Campion
CUST0000155784,2007-09-07,303,1,0.51,1,3,3,133,Cannot Loose them
CUST0000156083,2008-01-11,177,10,26.61,1,1,1,111,Lost Customer
CUST0000156387,2008-06-17,19,2,1.76,3,2,3,323,Loyal
CUST0000156425,2007-08-29,312,1,2.81,1,3,2,132,Cannot Loose them
CUST0000156866,2008-06-22,14,1,1.38,3,3,3,333,Campion
CUST0000156995,2007-11-26,223,1,0.68,1,3,3,133,Cannot Loose them
CUST0000157440,2008-01-22,166,2,5.74,1,2,2,122,About to sleep
CUST0000157757,2008-03-07,121,2,7.6499999999999995,1,2,2,122,About to sleep
CUST0000158040,2007-12-22,197,2,1.69,1,2,3,123,Cannot Loose them
CUST0000158273,2008-02-12,145,3,17.12,1,2,1,121,About to sleep
CUST0000158844,2008-03-12,116,1,2.16,1,3,2,132,Cannot Loose them
CUST0000159136,2008-07-03,3,61,94.25,3,1,1,311,Recent customer
CUST0000160452,2008-07-04,2,15,28.48,3,1,1,311,Recent customer
CUST0000160523,2008-07-05,1,3,17.66,3,2,1,321,Average
CUST0000160721,2008-07-04,2,84,97.82,3,1,1,311,Recent customer
CUST0000160842,2008-07-05,1,45,67.2,3,1,1,311,Recent customer
CUST0000160899,2008-06-21,15,2,2.92,3,2,2,322,potential Lotalist
CUST0000161217,2008-07-06,0,3,1.8900000000000001,3,2,3,323,Loyal
CUST0000161319,2008-07-01,5,25,26.029999999999998,3,1,1,311,Recent customer
CUST0000161411,2008-06-29,7,55,94.93,3,1,1,311,Recent customer
CUST0000162076,2008-03-22,106,1,0.43,2,3,3,233,Loyal
CUST0000163235,2008-06-10,26,7,15.520000000000001,2,1,1,211,About to sleep
CUST0000163976,2007-09-08,302,1,2.63,1,3,2,132,Cannot Loose them
CUST0000165005,2008-05-04,63,15,17.57,2,1,1,211,About to sleep
CUST0000166396,2008-03-21,107,1,2.18,2,3,2,232,Loyal
CUST0000166678,2007-11-04,245,1,0.71,1,3,3,133,Cannot Loose them
CUST0000167190,2008-06-03,33,27,52.599999999999994,2,1,1,211,About to sleep
CUST0000167299,2008-05-02,65,1,0.26,2,3,3,233,Loyal
CUST0000167624,2008-06-28,8,74,218.54,3,1,1,311,Recent customer
CUST0000167728,2008-04-09,88,2,3.2199999999999998,2,2,2,222,Average
CUST0000167842,2007-07-19,353,1,0.57,1,3,3,133,Cannot Loose them
CUST0000168291,2007-07-21,351,1,0.98,1,3,3,133,Cannot Loose them
CUST0000168428,2008-03-18,110,1,0.33,1,3,3,133,Cannot Loose them
CUST0000169105,2008-03-19,109,1,0.85,2,3,3,233,Loyal
CUST0000169355,2008-03-22,106,2,2.5700000000000003,2,2,2,222,Average
CUST0000169635,2008-05-20,47,10,18.9,2,1,1,211,About to sleep
CUST0000170198,2008-06-25,11,3,4.85,3,2,2,322,potential Lotalist
CUST0000170204,2007-10-24,256,1,1.99,1,3,3,133,Cannot Loose them
CUST0000170330,2008-06-21,15,8,25.02,3,1,1,311,Recent customer
CUST0000171197,2008-04-11,86,2,3.03,2,2,2,222,Average
CUST0000171269,2008-04-03,94,5,6.92,2,2,2,222,Average
CUST0000171503,2008-07-03,3,15,19.93,3,1,1,311,Recent customer
CUST0000171899,2008-05-23,44,10,10.67,2,1,1,211,About to sleep
CUST0000172021,2008-04-29,68,4,3.17,2,2,2,222,Average
CUST0000172062,2008-06-22,14,13,16.91,3,1,1,311,Recent customer
CUST0000172891,2008-06-24,12,17,24.32,3,1,1,311,Recent customer
CUST0000173648,2007-12-28,191,1,0.94,1,3,3,133,Cannot Loose them
CUST0000173934,2007-07-10,362,1,0.1,1,3,3,133,Cannot Loose them
CUST0000173993,2008-07-06,0,91,204.57999999999998,3,1,1,311,Recent customer
CUST0000174074,2008-03-20,108,4,5.83,2,2,2,222,Average
CUST0000174131,2007-08-04,337,1,1.47,1,3,3,133,Cannot Loose them
CUST0000174561,2008-06-18,18,22,37.98,3,1,1,311,Recent customer
CUST0000175060,2008-06-28,8,67,85.87,3,1,1,311,Recent customer
CUST0000175722,2008-05-27,40,5,1.02,2,2,3,223,potential Lotalist
CUST0000176488,2008-07-01,5,3,5.04,3,2,2,322,potential Lotalist
CUST0000176653,2008-06-24,12,26,59.56,3,1,1,311,Recent customer
CUST0000176901,2008-04-22,75,20,33.410000000000004,2,1,1,211,About to sleep
CUST0000177238,2007-08-23,318,1,1.27,1,3,3,133,Cannot Loose them
CUST0000177536,2008-06-27,9,43,80.81,3,1,1,311,Recent customer
CUST0000178418,2008-06-04,32,1,4.47,2,3,2,232,Loyal
CUST0000178959,2008-02-25,132,2,3.24,1,2,2,122,About to sleep
CUST0000179179,2008-06-23,13,7,8.22,3,1,2,312,Recent customer
CUST0000179429,2008-01-12,176,1,1.36,1,3,3,133,Cannot Loose them
CUST0000179503,2007-12-28,191,1,0.01,1,3,3,133,Cannot Loose them
CUST0000179705,2008-04-25,72,2,1.7,2,2,3,223,potential Lotalist
CUST0000179766,2008-07-05,1,2,4.33,3,2,2,322,potential Lotalist
CUST0000179997,2007-08-23,318,1,0.51,1,3,3,133,Cannot Loose them
CUST0000180213,2007-12-06,213,1,2.06,1,3,2,132,Cannot Loose them
CUST0000181184,2008-06-19,17,26,37.95,3,1,1,311,Recent customer
CUST0000181210,2008-05-08,59,2,8.280000000000001,2,2,2,222,Average
CUST0000181512,2008-06-25,11,2,1.8199999999999998,3,2,3,323,Loyal
CUST0000182034,2007-08-02,339,1,1.68,1,3,3,133,Cannot Loose them
CUST0000182683,2008-06-14,22,3,2.5300000000000002,3,2,2,322,potential Lotalist
CUST0000182722,2008-06-13,23,11,14.82,3,1,1,311,Recent customer
CUST0000182959,2007-07-22,350,1,1.32,1,3,3,133,Cannot Loose them
CUST0000183115,2008-06-16,20,16,18.2,3,1,1,311,Recent customer
CUST0000183156,2008-04-24,73,13,77.95,2,1,1,211,About to sleep
CUST0000183636,2007-08-23,318,3,3.9000000000000004,1,2,2,122,About to sleep
CUST0000184131,2008-06-02,34,2,6.16,2,2,2,222,Average
CUST0000184271,2008-02-27,130,1,0.85,1,3,3,133,Cannot Loose them
CUST0000184517,2008-05-11,56,1,0.96,2,3,3,233,Loyal
CUST0000184646,2008-06-24,12,32,40.64,3,1,1,311,Recent customer
CUST0000184652,2007-11-09,240,1,3.6,1,3,2,132,Cannot Loose them
CUST0000184875,2007-12-08,211,1,0.01,1,3,3,133,Cannot Loose them
CUST0000185462,2008-05-02,65,5,5.74,2,2,2,222,Average
CUST0000188187,2008-05-28,39,11,17.06,2,1,1,211,About to sleep
CUST0000188540,2008-05-22,45,6,6.5200000000000005,2,2,2,222,Average
CUST0000188842,2008-07-02,4,21,29.080000000000002,3,1,1,311,Recent customer
CUST0000190258,2008-05-29,38,2,0.86,2,2,3,223,potential Lotalist
CUST0000190299,2008-06-20,16,3,5.34,3,2,2,322,potential Lotalist
CUST0000190355,2008-06-30,6,41,89.52,3,1,1,311,Recent customer
CUST0000190597,2008-07-03,3,32,56.92,3,1,1,311,Recent customer
CUST0000190750,2008-05-08,59,1,1.79,2,3,3,233,Loyal
CUST0000191403,2008-06-24,12,8,23.13,3,1,1,311,Recent customer
CUST0000191439,2008-04-03,94,1,1.46,2,3,3,233,Loyal
CUST0000192207,2008-04-20,77,1,1.99,2,3,3,233,Loyal
CUST0000192457,2007-10-20,260,2,1.55,1,2,3,123,Cannot Loose them
CUST0000192879,2008-06-26,10,1,1.02,3,3,3,333,Campion
CUST0000193284,2008-01-08,180,2,2.5999999999999996,1,2,2,122,About to sleep
CUST0000193593,2008-06-01,35,3,13.55,2,2,1,221,About to sleep
CUST0000194462,2008-01-02,186,1,0.38,1,3,3,133,Cannot Loose them
CUST0000194993,2008-04-22,75,8,7.28,2,1,2,212,About to sleep
CUST0000195121,2008-07-01,5,26,25.47,3,1,1,311,Recent customer
CUST0000195177,2008-06-11,25,3,1.23,2,2,3,223,potential Lotalist
CUST0000195241,2007-09-03,307,1,2.94,1,3,2,132,Cannot Loose them
CUST0000195321,2008-06-27,9,23,45.2,3,1,1,311,Recent customer
CUST0000195880,2008-04-08,89,9,11.05,2,1,1,211,About to sleep
CUST0000196155,2008-06-02,34,8,6.55,2,1,2,212,About to sleep
CUST0000196176,2007-11-08,241,1,0.01,1,3,3,133,Cannot Loose them
CUST0000196337,2008-01-17,171,1,1.69,1,3,3,133,Cannot Loose them
CUST0000196565,2007-11-24,225,1,6.73,1,3,2,132,Cannot Loose them
CUST0000196837,2007-11-09,240,1,1.89,1,3,3,133,Cannot Loose them
CUST0000197181,2008-03-14,114,1,2.34,1,3,2,132,Cannot Loose them
CUST0000197322,2008-06-08,28,4,3.3600000000000003,2,2,2,222,Average
CUST0000197423,2008-06-11,25,10,15.75,2,1,1,211,About to sleep
CUST0000197451,2007-11-23,226,2,1.4,1,2,3,123,Cannot Loose them
CUST0000197821,2008-04-06,91,4,5.37,2,2,2,222,Average
CUST0000198226,2007-09-01,309,1,2.92,1,3,2,132,Cannot Loose them
CUST0000199143,2008-05-12,55,1,2.0,2,3,3,233,Loyal
CUST0000199239,2007-12-09,210,2,4.86,1,2,2,122,About to sleep
CUST0000199419,2007-07-26,346,1,1.04,1,3,3,133,Cannot Loose them
CUST0000199923,2008-06-22,14,6,12.18,3,2,1,321,Average
CUST0000200413,2008-01-26,162,1,0.72,1,3,3,133,Cannot Loose them
CUST0000200457,2008-06-10,26,5,8.6,2,2,2,222,Average
CUST0000200767,2008-07-03,3,106,122.79,3,1,1,311,Recent customer
CUST0000200775,2008-06-28,8,26,39.38,3,1,1,311,Recent customer
CUST0000200987,2008-06-30,6,48,99.15,3,1,1,311,Recent customer
CUST0000201184,2008-02-10,147,2,2.57,1,2,2,122,About to sleep
CUST0000201206,2007-08-13,328,1,2.06,1,3,2,132,Cannot Loose them
CUST0000201555,2008-06-07,29,2,4.12,2,2,2,222,Average
CUST0000202135,2008-05-25,42,4,8.42,2,2,2,222,Average
CUST0000202661,2008-06-24,12,31,63.5,3,1,1,311,Recent customer
CUST0000202818,2008-07-04,2,1,6.71,3,3,2,332,Loyal
CUST0000202837,2008-06-21,15,10,41.38,3,1,1,311,Recent customer
CUST0000203216,2008-06-26,10,3,2.62,3,2,2,322,potential Lotalist
CUST0000203439,2008-07-04,2,62,103.75999999999999,3,1,1,311,Recent customer
CUST0000203551,2008-03-03,125,4,5.6,1,2,2,122,About to sleep
CUST0000203641,2007-09-12,298,1,3.6,1,3,2,132,Cannot Loose them
CUST0000203903,2008-07-04,2,11,22.6,3,1,1,311,Recent customer
CUST0000204614,2007-11-28,221,1,0.53,1,3,3,133,Cannot Loose them
CUST0000205406,2008-03-19,109,2,1.6400000000000001,2,2,3,223,potential Lotalist
CUST0000205748,2007-10-22,258,1,2.11,1,3,2,132,Cannot Loose them
CUST0000206560,2008-07-05,1,49,83.36,3,1,1,311,Recent customer
CUST0000207155,2008-05-25,42,4,5.55,2,2,2,222,Average
CUST0000207530,2008-06-08,28,2,2.8200000000000003,2,2,2,222,Average
CUST0000207946,2007-12-08,211,4,3.57,1,2,2,122,About to sleep
CUST0000208696,2008-05-23,44,19,27.630000000000003,2,1,1,211,About to sleep
CUST0000208798,2008-05-23,44,6,24.97,2,2,1,221,About to sleep
CUST0000208822,2008-06-15,21,11,18.77,3,1,1,311,Recent customer
CUST0000209021,2008-04-18,79,1,0.89,2,3,3,233,Loyal
CUST0000209442,2008-05-26,41,2,1.8199999999999998,2,2,3,223,potential Lotalist
CUST0000209644,2007-11-20,229,1,1.66,1,3,3,133,Cannot Loose them
CUST0000209765,2008-06-25,11,3,10.95,3,2,1,321,Average
CUST0000209959,2007-08-28,313,1,4.81,1,3,2,132,Cannot Loose them
CUST0000210089,2008-06-25,11,14,29.36,3,1,1,311,Recent customer
CUST0000210783,2008-06-14,22,7,11.79,3,1,1,311,Recent customer
CUST0000210800,2007-12-23,196,1,1.21,1,3,3,133,Cannot Loose them
CUST0000210836,2008-06-21,15,16,54.449999999999996,3,1,1,311,Recent customer
CUST0000211159,2008-06-18,18,28,56.300000000000004,3,1,1,311,Recent customer
CUST0000212278,2008-06-01,35,9,13.649999999999999,2,1,1,211,About to sleep
CUST0000212674,2007-09-03,307,1,7.7,1,3,2,132,Cannot Loose them
CUST0000213069,2008-05-20,47,4,2.96,2,2,2,222,Average
CUST0000213494,2008-01-07,181,1,1.83,1,3,3,133,Cannot Loose them
CUST0000213596,2008-05-01,66,6,2.45,2,2,2,222,Average
CUST0000214538,2008-05-06,61,1,0.64,2,3,3,233,Loyal
CUST0000214594,2008-06-16,20,13,17.82,3,1,1,311,Recent customer
CUST0000214997,2008-06-26,10,24,37.99,3,1,1,311,Recent customer
CUST0000215125,2007-08-22,319,1,0.63,1,3,3,133,Cannot Loose them
CUST0000215621,2008-03-13,115,4,6.749999999999999,1,2,2,122,About to sleep
CUST0000215855,2008-05-28,39,3,4.84,2,2,2,222,Average
CUST0000218304,2008-01-24,164,1,1.54,1,3,3,133,Cannot Loose them
CUST0000219442,2008-06-25,11,6,5.08,3,2,2,322,potential Lotalist
CUST0000219443,2007-09-06,304,1,2.58,1,3,2,132,Cannot Loose them
CUST0000219525,2008-06-27,9,20,32.14,3,1,1,311,Recent customer
CUST0000219614,2007-10-06,274,1,1.21,1,3,3,133,Cannot Loose them
CUST0000220295,2008-07-05,1,26,29.34,3,1,1,311,Recent customer
CUST0000222191,2008-05-24,43,1,0.43,2,3,3,233,Loyal
CUST0000222978,2008-05-14,53,1,0.54,2,3,3,233,Loyal
CUST0000223335,2008-06-03,33,8,15.97,2,1,1,211,About to sleep
CUST0000223448,2007-11-14,235,3,2.2199999999999998,1,2,2,122,About to sleep
CUST0000223864,2008-03-05,123,1,2.6,1,3,2,132,Cannot Loose them
CUST0000224172,2008-06-16,20,3,4.2,3,2,2,322,potential Lotalist
CUST0000224606,2008-03-15,113,1,0.53,1,3,3,133,Cannot Loose them
CUST0000224697,2008-06-25,11,20,44.62,3,1,1,311,Recent customer
CUST0000225453,2008-02-01,156,1,1.17,1,3,3,133,Cannot Loose them
CUST0000225993,2008-05-27,40,1,1.0,2,3,3,233,Loyal
CUST0000226236,2008-03-06,122,1,4.72,1,3,2,132,Cannot Loose them
CUST0000227284,2007-09-02,308,2,1.55,1,2,3,123,Cannot Loose them
CUST0000228015,2008-03-01,127,2,0.68,1,2,3,123,Cannot Loose them
CUST0000228495,2008-06-21,15,13,12.82,3,1,1,311,Recent customer
CUST0000229017,2007-11-03,246,1,13.65,1,3,1,131,About to sleep
CUST0000229062,2008-04-09,88,4,4.98,2,2,2,222,Average
CUST0000230224,2008-05-26,41,7,11.540000000000001,2,1,1,211,About to sleep
CUST0000230478,2008-04-08,89,2,3.25,2,2,2,222,Average
CUST0000230656,2008-04-19,78,1,0.27,2,3,3,233,Loyal
CUST0000231274,2008-06-15,21,2,3.09,3,2,2,322,potential Lotalist
CUST0000231293,2007-09-28,282,2,1.61,1,2,3,123,Cannot Loose them
CUST0000231747,2008-02-18,139,2,8.39,1,2,2,122,About to sleep
CUST0000232607,2007-07-27,345,1,1.29,1,3,3,133,Cannot Loose them
CUST0000233275,2008-04-18,79,4,3.44,2,2,2,222,Average
CUST0000233291,2007-07-26,346,1,0.46,1,3,3,133,Cannot Loose them
CUST0000233323,2008-06-11,25,12,13.52,2,1,1,211,About to sleep
CUST0000233371,2008-05-09,58,2,4.22,2,2,2,222,Average
CUST0000233396,2008-04-28,69,4,3.46,2,2,2,222,Average
CUST0000233800,2008-02-28,129,1,0.32,1,3,3,133,Cannot Loose them
CUST0000234306,2008-07-04,2,15,24.43,3,1,1,311,Recent customer
CUST0000235415,2008-05-06,61,1,0.68,2,3,3,233,Loyal
CUST0000235477,2007-07-30,342,1,0.39,1,3,3,133,Cannot Loose them
CUST0000235674,2008-07-06,0,34,61.95,3,1,1,311,Recent customer
CUST0000235852,2008-06-24,12,1,1.43,3,3,3,333,Campion
CUST0000236055,2008-06-05,31,11,22.34,2,1,1,211,About to sleep
CUST0000236161,2008-07-06,0,29,56.22,3,1,1,311,Recent customer
CUST0000236299,2008-03-13,115,1,0.37,1,3,3,133,Cannot Loose them
CUST0000236914,2008-06-21,15,49,87.99,3,1,1,311,Recent customer
CUST0000237610,2008-03-19,109,3,2.94,2,2,2,222,Average
CUST0000238552,2007-11-04,245,1,2.02,1,3,3,133,Cannot Loose them
CUST0000238745,2008-05-12,55,6,12.82,2,2,1,221,About to sleep
CUST0000239380,2008-02-02,155,1,0.39,1,3,3,133,Cannot Loose them
CUST0000239622,2008-02-03,154,1,2.03,1,3,3,133,Cannot Loose them
CUST0000239714,2008-05-30,37,37,56.04,2,1,1,211,About to sleep
CUST0000240289,2008-07-04,2,70,91.6,3,1,1,311,Recent customer
CUST0000240334,2007-10-24,256,1,0.27,1,3,3,133,Cannot Loose them
CUST0000240534,2007-12-09,210,1,0.55,1,3,3,133,Cannot Loose them
CUST0000241132,2008-07-06,0,81,156.94,3,1,1,311,Recent customer
CUST0000242019,2008-03-12,116,1,1.04,1,3,3,133,Cannot Loose them
CUST0000242095,2008-07-03,3,58,104.35000000000001,3,1,1,311,Recent customer
CUST0000242370,2008-07-03,3,66,53.41,3,1,1,311,Recent customer
CUST0000242389,2008-03-11,117,2,2.72,1,2,2,122,About to sleep
CUST0000242943,2008-05-14,53,6,11.75,2,2,1,221,About to sleep
CUST0000243426,2008-06-08,28,4,3.0,2,2,2,222,Average
CUST0000243546,2007-10-27,253,1,4.5,1,3,2,132,Cannot Loose them
CUST0000243704,2008-04-15,82,6,5.609999999999999,2,2,2,222,Average
CUST0000244114,2008-05-21,46,12,15.47,2,1,1,211,About to sleep
CUST0000244143,2007-07-15,357,1,0.86,1,3,3,133,Cannot Loose them
CUST0000244281,2007-08-03,338,1,2.4,1,3,2,132,Cannot Loose them
CUST0000244551,2008-07-04,2,2,8.16,3,2,2,322,potential Lotalist
CUST0000244943,2007-09-23,287,1,0.88,1,3,3,133,Cannot Loose them
CUST0000245544,2008-06-18,18,2,2.44,3,2,2,322,potential Lotalist
CUST0000245749,2007-09-07,303,1,0.5,1,3,3,133,Cannot Loose them
CUST0000246027,2008-05-21,46,1,3.51,2,3,2,232,Loyal
CUST0000246378,2008-07-05,1,46,63.54,3,1,1,311,Recent customer
CUST0000247587,2008-01-03,185,2,6.470000000000001,1,2,2,122,About to sleep
CUST0000248215,2008-07-01,5,67,98.85000000000001,3,1,1,311,Recent customer
CUST0000248379,2007-08-14,327,1,0.61,1,3,3,133,Cannot Loose them
CUST0000248972,2008-06-19,17,10,16.91,3,1,1,311,Recent customer
CUST0000250178,2008-04-29,68,3,4.12,2,2,2,222,Average
CUST0000252109,2007-09-04,306,1,2.31,1,3,2,132,Cannot Loose them
CUST0000252383,2008-06-25,11,20,45.42,3,1,1,311,Recent customer
CUST0000252592,2008-02-27,130,1,1.27,1,3,3,133,Cannot Loose them
CUST0000254125,2008-05-03,64,2,4.08,2,2,2,222,Average
CUST0000254358,2008-06-04,32,14,26.150000000000002,2,1,1,211,About to sleep
CUST0000255107,2008-03-10,118,4,7.33,1,2,2,122,About to sleep
CUST0000255215,2007-08-27,314,1,1.72,1,3,3,133,Cannot Loose them
CUST0000255616,2008-05-25,42,1,1.04,2,3,3,233,Loyal
CUST0000255775,2008-05-22,45,1,0.67,2,3,3,233,Loyal
CUST0000255899,2008-05-14,53,1,1.29,2,3,3,233,Loyal
CUST0000256036,2008-04-29,68,1,1.6,2,3,3,233,Loyal
CUST0000256303,2008-06-27,9,13,15.66,3,1,1,311,Recent customer
CUST0000256489,2008-06-06,30,1,1.56,2,3,3,233,Loyal
CUST0000256594,2007-10-22,258,1,1.98,1,3,3,133,Cannot Loose them
CUST0000256627,2008-06-29,7,128,242.07,3,1,1,311,Recent customer
CUST0000256745,2008-07-06,0,4,2.1799999999999997,3,2,2,322,potential Lotalist
CUST0000257021,2008-06-26,10,6,9.959999999999999,3,2,2,322,potential Lotalist
CUST0000257118,2007-09-11,299,1,0.21,1,3,3,133,Cannot Loose them
CUST0000257189,2007-12-11,208,2,0.64,1,2,3,123,Cannot Loose them
CUST0000257202,2008-03-07,121,4,4.49,1,2,2,122,About to sleep
CUST0000257669,2007-12-10,209,1,2.46,1,3,2,132,Cannot Loose them
CUST0000258278,2007-07-12,360,1,1.43,1,3,3,133,Cannot Loose them
CUST0000258410,2008-05-01,66,1,1.35,2,3,3,233,Loyal
CUST0000259073,2008-06-10,26,1,2.23,2,3,2,232,Loyal
CUST0000259310,2008-03-12,116,1,0.03,1,3,3,133,Cannot Loose them
CUST0000259454,2008-05-14,53,2,2.95,2,2,2,222,Average
CUST0000259671,2008-06-15,21,4,6.12,3,2,2,322,potential Lotalist
CUST0000259806,2008-02-19,138,1,2.64,1,3,2,132,Cannot Loose them
CUST0000259810,2007-12-28,191,4,3.94,1,2,2,122,About to sleep
CUST0000260962,2008-01-21,167,1,0.04,1,3,3,133,Cannot Loose them
CUST0000261665,2007-09-27,283,1,0.47,1,3,3,133,Cannot Loose them
CUST0000262098,2008-06-07,29,1,4.34,2,3,2,232,Loyal
CUST0000262845,2008-04-13,84,2,6.96,2,2,2,222,Average
CUST0000262951,2008-03-25,103,1,0.74,2,3,3,233,Loyal
CUST0000263311,2007-12-11,208,2,5.92,1,2,2,122,About to sleep
CUST0000263489,2008-07-01,5,10,11.56,3,1,1,311,Recent customer
CUST0000263501,2008-06-26,10,35,51.42,3,1,1,311,Recent customer
CUST0000263920,2007-07-29,343,2,3.6799999999999997,1,2,2,122,About to sleep
CUST0000263970,2008-06-18,18,18,27.77,3,1,1,311,Recent customer
CUST0000264594,2008-01-01,187,1,0.19,1,3,3,133,Cannot Loose them
CUST0000265419,2008-04-05,92,4,5.43,2,2,2,222,Average
CUST0000265741,2008-07-04,2,7,16.39,3,1,1,311,Recent customer
CUST0000265774,2008-07-05,1,10,16.63,3,1,1,311,Recent customer
CUST0000265844,2008-03-23,105,2,2.03,2,2,3,223,potential Lotalist
CUST0000266254,2008-07-01,5,7,16.82,3,1,1,311,Recent customer
CUST0000266271,2008-01-16,172,1,1.04,1,3,3,133,Cannot Loose them
CUST0000267205,2008-03-11,117,4,8.08,1,2,2,122,About to sleep
CUST0000267396,2007-08-17,324,1,0.75,1,3,3,133,Cannot Loose them
CUST0000268081,2007-10-13,267,3,3.1100000000000003,1,2,2,122,About to sleep
CUST0000268143,2008-07-04,2,76,97.85,3,1,1,311,Recent customer
CUST0000268287,2008-06-15,21,5,4.79,3,2,2,322,potential Lotalist
CUST0000268823,2008-06-02,34,42,60.04,2,1,1,211,About to sleep
CUST0000269009,2007-12-04,215,2,1.35,1,2,3,123,Cannot Loose them
CUST0000269288,2008-03-12,116,2,2.16,1,2,2,122,About to sleep
CUST0000271090,2008-04-24,73,2,3.69,2,2,2,222,Average
CUST0000271096,2008-06-17,19,1,0.75,3,3,3,333,Campion
CUST0000271202,2007-11-18,231,2,2.9699999999999998,1,2,2,122,About to sleep
CUST0000271388,2008-03-08,120,2,1.71,1,2,3,123,Cannot Loose them
CUST0000271658,2007-12-28,191,2,3.0999999999999996,1,2,2,122,About to sleep
CUST0000272029,2008-01-28,160,2,2.86,1,2,2,122,About to sleep
CUST0000273243,2008-05-05,62,5,5.930000000000001,2,2,2,222,Average
CUST0000273752,2007-09-20,290,1,0.01,1,3,3,133,Cannot Loose them
CUST0000275191,2008-06-10,26,5,7.21,2,2,2,222,Average
CUST0000275219,2008-06-27,9,1,1.69,3,3,3,333,Campion
CUST0000275779,2008-07-01,5,17,14.02,3,1,1,311,Recent customer
CUST0000275796,2008-06-17,19,32,48.79,3,1,1,311,Recent customer
CUST0000275967,2008-07-02,4,61,135.31,3,1,1,311,Recent customer
CUST0000277178,2007-11-19,230,1,0.57,1,3,3,133,Cannot Loose them
CUST0000277518,2007-11-08,241,1,12.51,1,3,1,131,About to sleep
CUST0000277685,2008-05-06,61,7,8.93,2,1,2,212,About to sleep
CUST0000277985,2008-03-12,116,4,3.46,1,2,2,122,About to sleep
CUST0000278486,2008-07-06,0,80,87.91,3,1,1,311,Recent customer
CUST0000278836,2008-04-07,90,5,11.74,2,2,1,221,About to sleep
CUST0000279199,2007-11-25,224,1,2.9,1,3,2,132,Cannot Loose them
CUST0000279400,2008-03-31,97,3,7.52,2,2,2,222,Average
CUST0000279437,2008-05-09,58,1,0.75,2,3,3,233,Loyal
CUST0000279888,2007-10-31,249,3,4.01,1,2,2,122,About to sleep
CUST0000279910,2007-08-09,332,1,1.54,1,3,3,133,Cannot Loose them
CUST0000280015,2008-04-14,83,4,10.38,2,2,1,221,About to sleep
CUST0000280075,2008-07-06,0,3,12.34,3,2,1,321,Average
CUST0000280159,2008-01-26,162,1,0.39,1,3,3,133,Cannot Loose them
CUST0000280630,2008-04-25,72,1,3.26,2,3,2,232,Loyal
CUST0000280656,2008-07-06,0,74,107.52,3,1,1,311,Recent customer
CUST0000280854,2008-05-09,58,19,19.64,2,1,1,211,About to sleep
CUST0000280945,2007-09-08,302,1,0.98,1,3,3,133,Cannot Loose them
CUST0000281062,2008-06-23,13,52,93.98,3,1,1,311,Recent customer
CUST0000283533,2008-07-01,5,70,80.11,3,1,1,311,Recent customer
CUST0000283734,2007-07-11,361,1,0.4,1,3,3,133,Cannot Loose them
CUST0000283997,2007-12-20,199,2,2.61,1,2,2,122,About to sleep
CUST0000284687,2008-03-03,125,5,14.18,1,2,1,121,About to sleep
CUST0000285104,2007-10-30,250,1,1.91,1,3,3,133,Cannot Loose them
CUST0000285392,2008-05-28,39,6,10.17,2,2,1,221,About to sleep
CUST0000285664,2008-06-25,11,37,40.9,3,1,1,311,Recent customer
CUST0000285720,2008-07-02,4,67,169.62,3,1,1,311,Recent customer
CUST0000286210,2008-06-08,28,4,3.4299999999999997,2,2,2,222,Average
CUST0000286323,2008-05-29,38,2,2.57,2,2,2,222,Average
CUST0000286533,2008-02-18,139,1,0.35,1,3,3,133,Cannot Loose them
CUST0000287611,2008-04-11,86,3,1.96,2,2,3,223,potential Lotalist
CUST0000287649,2008-02-01,156,2,3.68,1,2,2,122,About to sleep
CUST0000287800,2008-06-13,23,25,34.68,3,1,1,311,Recent customer
CUST0000287957,2008-06-13,23,1,0.88,3,3,3,333,Campion
CUST0000288043,2007-09-15,295,1,1.7,1,3,3,133,Cannot Loose them
CUST0000288170,2007-08-18,323,3,3.2800000000000002,1,2,2,122,About to sleep
CUST0000288175,2008-05-08,59,1,1.54,2,3,3,233,Loyal
CUST0000290153,2008-07-02,4,4,1.6800000000000002,3,2,3,323,Loyal
CUST0000290660,2008-07-06,0,117,183.24,3,1,1,311,Recent customer
CUST0000291028,2008-06-14,22,1,1.63,3,3,3,333,Campion
CUST0000291269,2007-09-30,280,2,0.47000000000000003,1,2,3,123,Cannot Loose them
CUST0000291913,2008-05-30,37,3,1.69,2,2,3,223,potential Lotalist
CUST0000292379,2007-07-17,355,3,5.1,1,2,2,122,About to sleep
CUST0000292858,2008-06-21,15,11,12.19,3,1,1,311,Recent customer
CUST0000293398,2008-06-13,23,6,10.709999999999999,3,2,1,321,Average
